"","Year","Extent"
"1",1979,7.05
"2",1980,7.67
"3",1981,7.14
"4",1982,7.3
"5",1983,7.39
"6",1984,6.81
"7",1985,6.7
"8",1986,7.41
"9",1987,7.28
"10",1988,7.37
"11",1989,7.01
"12",1990,6.14
"13",1991,6.47
"14",1992,7.47
"15",1993,6.4
"16",1994,7.14
"17",1995,6.08
"18",1996,7.58
"19",1997,6.69
"20",1998,6.54
"21",1999,6.12
"22",2000,6.25
"23",2001,6.73
"24",2002,5.83
"25",2003,6.12
"26",2004,5.98
"27",2005,5.5
"28",2006,5.86
"29",2007,4.27
"30",2008,4.69
"31",2009,5.26
"32",2010,4.87
"33",2011,4.56
"34",2012,3.57
